gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cshi,csho,costat,ggroup,New Issues (IPOs are 0),Stock Split,,* Assuming all new stock offerings happen after stock split
1109,19991231,1999,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,2.007,2.007,I,2520,0,1,,* Assuming no buybacks
1109,20001231,2000,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,2.116,2.116,I,2520,0.109,1.054309915,,
1109,20011231,2001,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,2.231,2.231,I,2520,0.115,1.002696629,,
1109,20021231,2002,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,3.267,3.221,I,2520,1.036,1.372975277,,
1109,20031231,2003,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,3.786,3.613,I,2520,0.519,0.848719756,,
1109,20041231,2004,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,4.749,4.569,I,2520,0.963,1.105759923,,
1109,20051231,2005,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,5.4,5.197,I,2520,0.651,0.939443239,,
1109,20061231,2006,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,5.435,5.232,I,2520,0.035,0.894664843,,
1109,20071231,2007,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,5.66,5.451,I,2520,0.225,1.034934498,,
1109,20081231,2008,INDL,C,D,STD,AHIXD,ALUF HOLDINGS INC,USD,6.192,5.951,I,2520,0.532,1.048449612,,
1278,19991231,1999,INDL,C,D,STD,3SOCNQ,SUNBEAM CORPORATION,USD,100.746,100.746,I,2520,0,1,,
1468,19990228,1998,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,77.783,69.093,I,2520,0,1,,
1468,20000229,1999,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,77.803,64.52,I,2520,0.02,0.933813845,,
1468,20010228,2000,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,77.806,63.489,I,2520,0.003,0.983715525,,
1468,20020228,2001,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,77.816,63.761,I,2520,0.01,1.004236754,,
1468,20030228,2002,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,79.951,65.899,I,2520,2.135,1.0333694,,
1468,20040229,2003,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,81.517,67.469,I,2520,1.566,0.991695329,,
1468,20050228,2004,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,83.494,69.027,I,2520,1.977,0.999884117,,
1468,20060228,2005,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,85.009,60.348,I,2520,1.515,0.849923948,,
1468,20070228,2006,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,85.368,55.123,I,2520,0.359,0.891049577,,
1468,20080229,2007,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,86.588,48.758,I,2520,1.22,0.878807541,,
1468,20090228,2008,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,86.614,40.542,I,2520,0.026,0.811196927,,
1468,20100228,2009,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,86.95,39.48,I,2520,0.336,0.973180832,,
1468,20110228,2010,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,88.248,40.407,I,2520,1.298,1.014843279,,
1468,20120229,2011,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,89.471,36.854,I,2520,1.223,0.883683012,,
1468,20130228,2012,INDL,C,D,STD,AM.1,AMERICAN GREETINGS  -CL A,USD,89.993,31.971,I,2520,0.522,0.839640728,,
1677,19991231,1999,INDL,C,D,STD,KTO,K2 INC,USD,18.673,17.94,I,2520,0,1,,
1677,20001231,2000,INDL,C,D,STD,KTO,K2 INC,USD,18.674,17.935,I,2520,0.001,0.999721293,,
1677,20011231,2001,INDL,C,D,STD,KTO,K2 INC,USD,18.676,17.929,I,2520,0.002,0.999609723,,
1677,20021231,2002,INDL,C,D,STD,KTO,K2 INC,USD,18.679,17.932,I,2520,0.003,1.000055769,,
1677,20031231,2003,INDL,C,D,STD,KTO,K2 INC,USD,34.147,33.4,I,2520,15.468,1.862280457,,
1677,20041231,2004,INDL,C,D,STD,KTO,K2 INC,USD,47.543,46.796,I,2520,13.396,0.957600065,,
1677,20051231,2005,INDL,C,D,STD,KTO,K2 INC,USD,47.663,46.9,I,2520,0.12,0.779173312,,
1677,20061231,2006,INDL,C,D,STD,KTO,K2 INC,USD,50.177,49.414,I,2520,2.514,1.050914504,,
1814,19991031,1999,INDL,C,D,STD,ASTO,ASTRO COMMUNICATIONS INC,USD,7.182,3.809,I,2520,0,1,,
1814,20001031,2000,INDL,C,D,STD,ASTO,ASTRO COMMUNICATIONS INC,USD,7.182,3.732,I,2520,0,0.97978472,,
1814,20011031,2001,INDL,C,D,STD,ASTO,ASTRO COMMUNICATIONS INC,USD,7.247,3.11,I,2520,0.065,0.833333333,,
1814,20021031,2002,INDL,C,D,STD,ASTO,ASTRO COMMUNICATIONS INC,USD,7.247,2.996,I,2520,0,0.943622047,,
1906,19991231,1999,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,9.17,8.406,I,2520,0,1,,
1906,20001231,2000,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,9.17,8.406,I,2520,0,1,,
1906,20011231,2001,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,9.359,8.595,I,2520,0.189,1.02248394,,
1906,20021231,2002,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,9.553,8.781,I,2520,0.194,0.99965847,,
1906,20031231,2003,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,10.541,9.389,I,2520,0.988,1.046128134,,
1906,20041231,2004,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,10.581,8.058,I,2520,0.04,0.776525007,,
1906,20051231,2005,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,10.711,8.179,I,2520,0.13,1.01000247,,
1906,20061231,2006,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,10.726,8.194,I,2520,0.015,0.986159586,,
1906,20071231,2007,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,11.077,8.525,I,2520,0.351,1.038494335,,
1906,20081231,2008,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,11.488,8.83,I,2520,0.411,0.994817485,,
1906,20091231,2009,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,14.014,11.356,I,2520,2.526,1.228871334,,
1906,20101231,2010,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,15.563,12.901,I,2520,1.549,0.929332949,,
1906,20111231,2011,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,14.195,12.943,I,2520,-1.368,0.895709343,,
1906,20121231,2012,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,12.938,12.827,I,2520,-1.257,1.108164147,,
1906,20131231,2013,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,22.097,21.986,I,2520,9.159,1.900259291,,
1906,20141231,2014,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,22.183,22.072,I,2520,0.086,0.708685182,,
1906,20151231,2015,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,22.444,22.333,I,2520,0.261,1.007897825,,
1906,20161231,2016,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,22.624,22.513,I,2520,0.18,0.996414977,,
1906,20171231,2017,INDL,C,D,STD,AVHI.1,A V HOMES INC,USD,22.475,22.364,I,2520,-0.149,0.985502137,,
2033,19990630,1999,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,32.376,24.88,I,2520,0,1,,
2033,20000630,2000,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,32.701,25.052,I,2520,0.325,1.006913183,,
2033,20010630,2001,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,32.957,25.15,I,2520,0.256,0.991054892,,
2033,20020630,2002,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,32.976,25.162,I,2520,0.019,0.990395969,,
2033,20030630,2003,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,32.999,25.185,I,2520,0.023,1.00015885,,
2033,20040930,2004,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,33.008,25.194,I,2520,0.009,0.999444621,,
2033,20050930,2005,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,33.101,25.226,I,2520,0.093,1.00091259,,
2033,20060930,2006,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,33.101,25.226,I,2520,0,0.996326869,,
2033,20070930,2007,INDL,C,D,STD,FCHDQ,FAIRCHILD CORP  -CL A,USD,33.101,25.226,I,2520,0,1,,
2061,19991231,1999,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.352,9.349,I,2520,0,1,,
2061,20001231,2000,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.351,9.371,I,2520,-0.001,1.002353193,,
2061,20011231,2001,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.355,9.376,I,2520,0.004,1.000640342,,
2061,20021231,2002,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.739,9.806,I,2520,0.384,1.045415778,,
2061,20031231,2003,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.746,9.834,I,2520,0.007,0.965063788,,
2061,20041231,2004,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.746,9.836,I,2520,0,0.999491922,,
2061,20051231,2005,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,9.92,9.92,I,2520,-0.826,1.008540057,,
2061,20060630,2006,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,10.986,10.017,I,2520,1.066,1.101495492,,
2061,20070630,2007,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,11.352,10.352,I,2520,0.366,0.934043129,,
2061,20080630,2008,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,11.553,10.548,I,2520,0.201,0.984138832,,
2061,20090630,2009,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,11.73,10.722,I,2520,0.177,0.997488138,,
2061,20100630,2010,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,11.955,10.93,I,2520,0.225,1.002844298,,
2061,20110630,2011,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,12.1,11.053,I,2520,0.145,0.990856118,,
2061,20120630,2012,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,12.23,11.182,I,2520,0.13,0.998571173,,
2061,20130630,2013,INDL,C,D,STD,DFZ,BARRY (R G) CORP,USD,12.376,11.291,I,2520,0.146,0.998143564,,
2080,19991130,1999,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,12.095,12.095,A,2520,0,1,,
2080,20001130,2000,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.765,11.765,A,2520,-0.33,0.972715998,,
2080,20011130,2001,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.727,11.727,A,2520,-0.038,1.025535636,,
2080,20021130,2002,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.661,11.661,A,2520,-0.066,0.997604586,,
2080,20031130,2003,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.6,11.6,A,2520,-0.061,1.00043122,,
2080,20041130,2004,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.736,11.736,A,2520,0.136,1.017072537,,
2080,20051130,2005,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.804,11.804,A,2520,0.068,0.994272237,,
2080,20061130,2006,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.804,11.804,A,2520,0,0.994272237,,
2080,20071130,2007,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.807,11.807,A,2520,0.003,1.000254151,,
2080,20081130,2008,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.42,11.42,A,2520,-0.387,0.966977138,,
2080,20091130,2009,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.455,11.455,A,2520,0.035,1.03824889,,
2080,20101130,2010,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.559,11.559,A,2520,0.104,1.006005222,,
2080,20111130,2011,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11.342,11.342,A,2520,-0.217,0.972477064,,
2080,20121130,2012,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.837,10.837,A,2520,-0.505,0.97411236,,
2080,20131130,2013,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.859,10.859,A,2520,0.022,1.051006581,,
2080,20141130,2014,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.493,10.493,A,2520,-0.366,0.964341513,,
2080,20151130,2015,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.916,10.916,A,2520,0.423,1.077910536,,
2080,20161130,2016,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.723,10.723,A,2520,-0.193,0.945674222,,
2080,20171130,2017,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.738,10.738,A,2520,0.015,1.019753086,,
2080,20181130,2018,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.528,10.528,A,2520,-0.21,0.979075607,,
2080,20191130,2019,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,10.116,10.116,A,2520,-0.412,0.980422563,,
2080,20201130,2020,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,9.943,9.943,A,2520,-0.173,1.024629019,,
2080,20211130,2021,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,9.762,9.762,A,2520,-0.181,0.999181167,,
2113,19990831,1999,INDL,C,D,STD,NICH,NITCHES INC,USD,1.065,1.065,A,2520,0,1,,
2113,20000831,2000,INDL,C,D,STD,NICH,NITCHES INC,USD,1.065,1.065,A,2520,0,1,,
2113,20010831,2001,INDL,C,D,STD,NICH,NITCHES INC,USD,1.065,1.065,A,2520,0,1,,
2113,20020831,2002,INDL,C,D,STD,NICH,NITCHES INC,USD,1.171,1.171,A,2520,0.106,1.099530516,,
2113,20030831,2003,INDL,C,D,STD,NICH,NITCHES INC,USD,1.171,1.171,A,2520,0,0.916992952,,
2113,20040831,2004,INDL,C,D,STD,NICH,NITCHES INC,USD,1.171,1.171,A,2520,0,1,,
2113,20050831,2005,INDL,C,D,STD,NICH,NITCHES INC,USD,1.171,1.171,A,2520,0,1,,
2113,20060831,2006,INDL,C,D,STD,NICH,NITCHES INC,USD,4.654,4.654,A,2520,3.483,3.974380871,,
2113,20070831,2007,INDL,C,D,STD,NICH,NITCHES INC,USD,5.66,5.66,A,2520,1.006,0.695588055,,
2130,19991231,1999,INDL,C,D,STD,3CRLH,CARLYLE INDUSTRIES INC,USD,13.935,13.935,I,2520,0,1,,
2130,20001231,2000,INDL,C,D,STD,3CRLH,CARLYLE INDUSTRIES INC,USD,13.935,13.935,I,2520,0,1,,
2130,20011231,2001,INDL,C,D,STD,3CRLH,CARLYLE INDUSTRIES INC,USD,13.935,13.935,I,2520,0,1,,
2255,19991231,1999,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,97.174,87.19,I,2520,0,1,,
2255,20001231,2000,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,80.343,80.343,I,2520,-16.831,0.921470352,,
2255,20011231,2001,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,79.83,79.83,I,2520,-0.513,1.256927825,,
2255,20021231,2002,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,79.605,79.605,I,2520,-0.225,1.003631,,
2255,20031231,2003,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,77.933,77.933,I,2520,-1.672,0.981771227,,
2255,20041231,2004,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,82.095,82.095,I,2520,4.162,1.076500439,,
2255,20051231,2005,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,77.357,77.357,I,2520,-4.738,0.896819968,,
2255,20061231,2006,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,66.735,66.735,I,2520,-10.622,0.918974373,,
2255,20071231,2007,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,62.924,62.924,I,2520,-3.811,1.121380072,,
2255,20081231,2008,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,60.093,60.093,I,2520,-2.831,1.016578418,,
2255,20091231,2009,INDL,C,D,STD,BDK,BLACK & DECKER CORP,USD,61.645,61.645,I,2520,1.552,1.076542908,,
2444,19991231,1999,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,91.811,A,2520,0,1,,
2444,20001231,2000,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,87.344,A,2520,0,0.951345699,,
2444,20011231,2001,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,87.799,A,2520,0,1.005209287,,
2444,20021231,2002,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,90.161,A,2520,0,1.026902357,,
2444,20031231,2003,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,92.13,A,2520,0,1.021838711,,
2444,20041231,2004,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,96.829,A,2520,0,1.051004016,,
2444,20051231,2005,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,95.657,A,2520,0,0.987896188,,
2444,20061231,2006,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,90.867,A,2520,0,0.949925254,,
2444,20071231,2007,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,87.446,A,2520,0,0.962351569,,
2444,20081231,2008,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,87.745,A,2520,0,1.003419253,,
2444,20091231,2009,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,88.263,A,2520,0,1.00590347,,
2444,20101231,2010,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,88.661,A,2520,0,1.004509251,,
2444,20111231,2011,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,89.104,A,2520,0,1.00499656,,
2444,20121231,2012,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,89.631,A,2520,0,1.005914437,,
2444,20131231,2013,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,92.409,A,2520,0,1.030993741,,
2444,20141231,2014,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,92.694,A,2520,0,1.003084115,,
2444,20151231,2015,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,90.813,A,2520,0,0.979707424,,
2444,20161231,2016,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,89.317,A,2520,0,0.983526588,,
2444,20171231,2017,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,87.537,A,2520,0,0.980070983,,
2444,20181231,2018,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,86.757,A,2520,0,0.991089482,,
2444,20191231,2019,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,79.569,A,2520,0,0.917147896,,
2444,20201231,2020,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,102.538,77.875,A,2520,0,0.978710302,,
2444,20211231,2021,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,,77.134,A,2520,-102.538,0.990484751,,
2489,19990930,1999,INDL,C,D,STD,3BRLGQ,BURLINGTON INDUSTRIES INC,USD,68.393,52.066,I,2520,0,1,,
2489,20000930,2000,INDL,C,D,STD,3BRLGQ,BURLINGTON INDUSTRIES INC,USD,68.865,52.535,I,2520,0.472,1.009007798,,
2489,20010930,2001,INDL,C,D,STD,3BRLGQ,BURLINGTON INDUSTRIES INC,USD,70.003,53.62,I,2520,1.138,1.01156451,,
2489,20020930,2002,INDL,C,D,STD,3BRLGQ,BURLINGTON INDUSTRIES INC,USD,70.277,53.778,I,2520,0.274,0.982103072,,
2508,19991231,1999,INDL,C,D,STD,BINDQ.1,BUSH INDUSTRIES  -CL A,USD,13.95,13.868,I,2520,0,1,,
2508,20001231,2000,INDL,C,D,STD,BINDQ.1,BUSH INDUSTRIES  -CL A,USD,14.027,13.661,I,2520,0.077,0.985073551,,
2508,20011231,2001,INDL,C,D,STD,BINDQ.1,BUSH INDUSTRIES  -CL A,USD,14.163,13.775,I,2520,0.136,1.00269326,,
2508,20021231,2002,INDL,C,D,STD,BINDQ.1,BUSH INDUSTRIES  -CL A,USD,14.233,13.84,I,2520,0.07,0.994896125,,
2556,19991231,1999,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,12.367,9.368,I,2520,0,1,,
2556,20001231,2000,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,12.367,8.831,I,2520,0,0.942677199,,
2556,20020331,2001,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,12.366,8.585,I,2520,-0.001,0.972143585,,
2556,20030331,2002,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,12.367,7.724,I,2520,0.001,0.899813607,,
2556,20040331,2003,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,11.83,I,2520,2.336,1.531391586,,
2556,20050331,2004,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,10.382,I,2520,0,0.732881547,,
2556,20060331,2005,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,10.487,I,2520,0,1.010113658,,
2556,20070331,2006,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,10.845,I,2520,0,1.034137504,,
2556,20080331,2007,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,10.266,I,2520,0,0.946611342,,
2556,20090331,2008,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.605,I,2520,0,0.935612702,,
2556,20100331,2009,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.676,I,2520,0,1.007391983,,
2556,20110331,2010,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.733,I,2520,0,1.005890864,,
2556,20120331,2011,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.679,I,2520,0,0.994451865,,
2556,20130331,2012,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.468,I,2520,0,0.978200227,,
2556,20140331,2013,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.295,I,2520,0,0.981727926,,
2556,20150331,2014,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.344,I,2520,0,1.005271651,,
2556,20160331,2015,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.032,I,2520,0,0.966609589,,
2556,20170331,2016,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.087,I,2520,0,1.00608946,,
2556,20180331,2017,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,9.12,I,2520,0,1.003631562,,
2556,20190331,2018,INDL,C,D,STD,CSS,CSS INDUSTRIES INC,USD,14.703,8.837,I,2520,0,0.968969298,,
2566,19990630,1999,INDL,C,D,STD,CPTD,CPT HOLDING CORP,USD,1.51,1.51,I,2520,0,1,,
2636,19991231,1999,INDL,C,D,STD,CLPO,CALPROP CORP,USD,10.294,10.294,I,2520,0,1,,
2636,20001231,2000,INDL,C,D,STD,CLPO,CALPROP CORP,USD,10.291,10.291,I,2520,-0.003,0.999708568,,
2636,20011231,2001,INDL,C,D,STD,CLPO,CALPROP CORP,USD,10.254,10.254,I,2520,-0.037,0.996695179,,
2636,20021231,2002,INDL,C,D,STD,CLPO,CALPROP CORP,USD,10.235,10.235,I,2520,-0.019,1.00176177,,
2785,19991231,1999,INDL,C,D,STD,HPPS,HEALTHY PLANET PRODUCTS INC,USD,3.841,3.841,I,2520,0,1,,
2785,20001231,2000,INDL,C,D,STD,HPPS,HEALTHY PLANET PRODUCTS INC,USD,3.841,3.841,I,2520,0,1,,
2785,20011231,2001,INDL,C,D,STD,HPPS,HEALTHY PLANET PRODUCTS INC,USD,3.841,3.841,I,2520,0,1,,
2820,20020331,2001,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,0,0,A,2520,0,1,,
2820,20030331,2002,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,0,0,A,2520,0,#DIV/0!,,
2820,20040331,2003,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3.144,3.144,A,2520,3.144,#DIV/0!,,
2820,20050331,2004,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.289,6.289,A,2520,3.145,1.000159033,,
2820,20060331,2005,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.353,6.353,A,2520,0.064,0.673415306,,
2820,20070331,2006,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.383,6.383,A,2520,0.03,0.994701574,,
2820,20080331,2007,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.452,6.452,A,2520,0.069,1.006081397,,
2820,20090331,2008,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.507,6.507,A,2520,0.055,0.99785309,,
2820,20100331,2009,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.542,6.542,A,2520,0.035,0.996952149,,
2820,20110331,2010,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.818,6.818,A,2520,0.276,1.036642846,,
2820,20120331,2011,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.891,6.891,A,2520,0.073,0.971384268,,
2820,20130331,2012,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,6.968,6.968,A,2520,0.077,1.000574383,,
2820,20140331,2013,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,8.845,8.845,A,2520,1.877,1.255500355,,
2820,20150331,2014,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,8.859,8.859,A,2520,0.014,0.826245104,,
2820,20160331,2015,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,8.928,8.928,A,2520,0.069,1.00619858,,
2820,20170331,2016,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,8.995,8.995,A,2520,0.067,0.999777704,,
2820,20180331,2017,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,9.045,9.045,A,2520,0.05,0.998124034,,
2820,20190331,2018,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,9.098,9.098,A,2520,0.053,1.000329852,,
2820,20200331,2019,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,9.173,9.173,A,2520,0.075,1.002404109,,
2820,20210331,2020,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,9.242,9.235,A,2520,0.069,0.998594291,,
2845,19990331,1998,INDL,C,D,STD,CTX.2,CENTEX CORP,USD,59.388,59.388,I,2520,0,1,,
2845,20000331,1999,INDL,C,D,STD,CTX.2,CENTEX CORP,USD,58.806,58.806,I,2520,-0.582,0.99020004,,
2845,20010331,2000,INDL,C,D,STD,CTX.2,CENTEX CORP,USD,59.929,59.929,I,2520,1.123,1.029283457,,
